WARNING: ./src/Instruction_memory.v:19: $readmemh(src/program16.mem): Not enough words in the file for the requested range [0:255].
VCD info: dumpfile ./tb/waveform/top.vcd opened for output.

=== Reset released, starting trace ===

415000 | PC=0048 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
425000 | PC=004a | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
435000 | PC=004c | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
445000 | PC=004e | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
455000 | PC=0050 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
465000 | PC=0052 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
475000 | PC=0054 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
485000 | PC=0056 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
495000 | PC=0058 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
505000 | PC=005a | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
515000 | PC=005c | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
525000 | PC=005e | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
535000 | PC=0060 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
545000 | PC=0062 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
