net,length_um
mem_write_data[15],10.2µm
mem_write_data[4],10.2µm
memory\[6\]\[10\],10.18µm
_230_,10.14µm
_182_,10.08µm
memory\[0\]\[3\],10.02µm
memory\[0\]\[11\],10µm
_094_,9.985µm
memory\[4\]\[11\],9.98µm
memory\[1\]\[12\],9.96µm
net204,9.94µm
memory\[0\]\[13\],9.9µm
memory\[3\]\[3\],9.9µm
_203_,9.88µm
_025_,9.865µm
net26,9.86µm
memory\[4\]\[6\],9.82µm
memory\[3\]\[11\],9.8µm
_204_,9.78µm
_133_,9.76µm
memory\[2\]\[8\],9.74µm
memory\[5\]\[6\],9.74µm
_065_,9.685µm
_163_,9.66µm
net167,9.66µm
_053_,9.645µm
mem_read_data[15],9.64µm
_039_,9.585µm
_030_,9.525µm
memory\[5\]\[1\],9.52µm
memory\[4\]\[5\],9.5µm
_197_,9.48µm
memory\[4\]\[13\],9.44µm
_184_,9.42µm
memory\[4\]\[10\],9.36µm
memory\[0\]\[1\],9.26µm
memory\[1\]\[3\],9.2µm
_109_,9.185µm
mem_read_data[0],9.18µm
_087_,9.065µm
_233_,9.06µm
memory\[7\]\[12\],9.02µm
memory\[1\]\[4\],9µm
memory\[7\]\[0\],9µm
mem_read_data[11],8.96µm
_246_,8.9µm
memory\[2\]\[12\],8.88µm
net148,8.86µm
mem_write_data[11],8.84µm
mem_write_data[14],8.84µm
mem_write_data[2],8.84µm
net115,8.84µm
mem_access_addr[2],8.72µm
mem_access_addr[3],8.72µm
_049_,8.685µm
_036_,8.645µm
_206_,8.62µm
mem_read,8.61µm
mem_write_data[5],8.61µm
memory\[2\]\[7\],8.6µm
_136_,8.56µm
memory\[5\]\[0\],8.56µm
memory\[3\]\[15\],8.54µm
mem_read_data[14],8.5µm
mem_read_data[2],8.5µm
_096_,8.495µm
_168_,8.44µm
net160,8.44µm
memory\[7\]\[9\],8.42µm
mem_read_data[3],8.39µm
mem_write_data[10],8.39µm
memory\[7\]\[13\],8.36µm
memory\[5\]\[13\],8.32µm
_018_,8.305µm
net79,8.28µm
mem_read_data[10],8.25µm
_118_,8.225µm
_124_,8.195µm
memory\[2\]\[9\],8.14µm
memory\[6\]\[4\],8.14µm
net194,8.08µm
memory\[0\]\[0\],7.98µm
_196_,7.94µm
net142,7.9µm
memory\[2\]\[2\],7.88µm
memory\[3\]\[7\],7.88µm
memory\[3\]\[9\],7.86µm
memory\[5\]\[14\],7.86µm
_112_,7.845µm
net123,7.78µm
_243_,7.64µm
memory\[2\]\[6\],7.64µm
net188,7.64µm
_254_,7.58µm
memory\[2\]\[13\],7.56µm
memory\[7\]\[2\],7.56µm
net114,7.52µm
net161,7.52µm
net172,7.52µm
net173,7.52µm
_008_,7.505µm
_059_,7.505µm
memory\[1\]\[6\],7.44µm
net151,7.42µm
net180,7.4µm
_003_,7.385µm
_050_,7.385µm
memory\[0\]\[4\],7.32µm
net139,7.3µm
net153,7.3µm
memory\[1\]\[14\],7.18µm
memory\[3\]\[4\],7.18µm
memory\[5\]\[9\],7.18µm
_001_,7.165µm
mem_read_data[5],7.11µm
_017_,7.105µm
_247_,7.1µm
memory\[4\]\[4\],7.1µm
mem_read_data[13],7.03µm
_183_,7µm
memory\[4\]\[9\],6.86µm
_210_,6.84µm
_063_,6.825µm
memory\[6\]\[5\],6.82µm
_161_,6.78µm
net120,6.78µm
mem_write_data[9],6.77µm
memory\[6\]\[1\],6.76µm
memory\[5\]\[2\],6.74µm
_172_,6.72µm
memory\[5\]\[5\],6.72µm
memory\[6\]\[0\],6.72µm
net34,6.72µm
_099_,6.705µm
_157_,6.66µm
_251_,6.64µm
memory\[3\]\[8\],6.62µm
_153_,6.6µm
_185_,6.58µm
net90,6.54µm
net91,6.54µm
net99,6.5µm
net137,6.5µm
_028_,6.475µm
_222_,6.46µm
_078_,6.425µm
_000_,6.365µm
_006_,6.365µm
_013_,6.365µm
_027_,6.365µm
_035_,6.365µm
_103_,6.365µm
_110_,6.365µm
_123_,6.365µm
_126_,6.365µm
memory\[3\]\[5\],6.28µm
_149_,6.26µm
_207_,6.26µm
_241_,6.26µm
_072_,6.225µm
_107_,6.185µm
_015_,6.18µm
memory\[7\]\[1\],6.16µm
_189_,6.14µm
_200_,6.14µm
_227_,6.14µm
mem_write_data[7],6.09µm
net100,6.04µm
net121,6.04µm
net136,6.04µm
net138,6.04µm
net199,5.98µm
_010_,5.965µm
_016_,5.965µm
_026_,5.965µm
memory\[5\]\[11\],5.94µm
net165,5.94µm
_058_,5.895µm
_074_,5.895µm
_125_,5.895µm
mem_write_data[3],5.87µm
memory\[7\]\[15\],5.8µm
_042_,5.765µm
_048_,5.765µm
mem_read_data[7],5.75µm
_226_,5.72µm
_173_,5.68µm
_070_,5.675µm
mem_access_addr[1],5.63µm
memory\[3\]\[0\],5.6µm
net186,5.58µm
_022_,5.555µm
net80,5.52µm
_024_,5.505µm
_047_,5.505µm
_067_,5.505µm
_186_,5.5µm
_101_,5.475µm
_177_,5.4µm
_221_,5.4µm
_188_,5.26µm
_051_,5.24µm
_066_,5.24µm
_144_,5.22µm
_193_,5.22µm
net201,5.16µm
memory\[6\]\[8\],5.14µm
net122,5.14µm
net206,5.12µm
_029_,5.095µm
_095_,5.085µm
mem_read_data[12],5.07µm
mem_write_data[12],5.07µm
mem_write_en,5.07µm
_148_,5.06µm
net128,5.06µm
net154,5.06µm
_033_,5.045µm
_158_,4.92µm
_175_,4.92µm
_237_,4.92µm
memory\[3\]\[12\],4.92µm
_209_,4.88µm
_076_,4.845µm
_086_,4.845µm
_180_,4.82µm
_238_,4.8µm
_250_,4.8µm
net135,4.8µm
net144,4.8µm
net152,4.8µm
net150,4.76µm
net190,4.7µm
net126,4.66µm
net202,4.66µm
net192,4.6µm
_043_,4.585µm
_054_,4.585µm
_139_,4.58µm
memory\[7\]\[5\],4.46µm
mem_read_data[4],4.39µm
mem_read_data[9],4.39µm
_037_,4.385µm
_256_,4.34µm
net94,4.34µm
net107,4.34µm
net111,4.34µm
net131,4.34µm
_115_,4.295µm
_052_,4.265µm
_060_,4.265µm
net82,4.24µm
net102,4.24µm
net147,4.24µm
