Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_34_3,VGND,li1,8.7400,103.3600,0.000042
FILLER_33_225,VGND,li1,109.7100,103.3600,0.000179
FILLER_33_221,VGND,li1,107.8700,103.3600,0.000179
FILLER_33_200,VGND,li1,97.7500,103.3600,0.000177
FILLER_33_169,VGND,li1,83.7200,103.3600,0.000163
FILLER_33_152,VGND,li1,77.2800,103.3600,0.000155
FILLER_33_126,VGND,li1,63.7100,103.3600,0.000134
FILLER_33_122,VGND,li1,62.5600,103.3600,0.000134
FILLER_33_73,VGND,li1,39.5600,103.3600,0.000080
FILLER_33_65,VGND,li1,37.2600,103.3600,0.000072
FILLER_33_55,VGND,li1,31.0500,103.3600,0.000056
FILLER_33_36,VGND,li1,22.7700,103.3600,0.000039
FILLER_33_3,VGND,li1,8.7400,103.3600,0.000042
FILLER_32_219,VGND,li1,106.4900,97.9200,0.000134
FILLER_32_195,VGND,li1,95.4500,97.9200,0.000131
FILLER_32_176,VGND,li1,86.7100,97.9200,0.000127
FILLER_32_170,VGND,li1,85.1000,97.9200,0.000126
FILLER_32_151,VGND,li1,75.2100,97.9200,0.000118
FILLER_32_147,VGND,li1,74.0600,97.9200,0.000118
FILLER_32_136,VGND,li1,69.0000,97.9200,0.000112
FILLER_32_130,VGND,li1,65.5500,97.9200,0.000107
FILLER_32_126,VGND,li1,64.4000,97.9200,0.000107
FILLER_32_101,VGND,li1,52.2100,97.9200,0.000091
FILLER_32_63,VGND,li1,35.4200,97.9200,0.000058
FILLER_32_29,VGND,li1,19.3200,97.9200,0.000033
FILLER_32_15,VGND,li1,13.8000,97.9200,0.000034
FILLER_32_3,VGND,li1,9.6600,97.9200,0.000034
FILLER_31_225,VGND,li1,109.7100,97.9200,0.000134
FILLER_31_219,VGND,li1,106.4900,97.9200,0.000134
FILLER_31_164,VGND,li1,81.8800,97.9200,0.000124
FILLER_31_125,VGND,li1,64.8600,97.9200,0.000107
FILLER_31_113,VGND,li1,60.2600,97.9200,0.000100
FILLER_31_111,VGND,li1,56.8100,97.9200,0.000097
