net,length_um
_374_,8.1µm
_294_,7.98µm
_147_,7.94µm
_313_,7.94µm
_035_,7.9µm
_359_,7.88µm
_182_,7.86µm
_110_,7.66µm
_003_,7.64µm
ALU_result[3],7.58µm
_015_,7.56µm
_255_,7.52µm
net43,7.52µm
_081_,7.32µm
_103_,7.28µm
_287_,7.22µm
_292_,7.2µm
_299_,7.18µm
_047_,7.14µm
_306_,7.14µm
_373_,7.08µm
_353_,7.06µm
net16,7.06µm
_040_,6.88µm
_211_,6.86µm
_071_,6.78µm
_164_,6.78µm
SrcB[9],6.77µm
SrcA[7],6.65µm
_116_,6.64µm
_127_,6.64µm
_209_,6.6µm
_091_,6.5µm
_006_,6.48µm
_045_,6.46µm
SrcA[5],6.45µm
SrcB[14],6.43µm
SrcB[1],6.43µm
_159_,6.42µm
_322_,6.42µm
SrcB[6],6.31µm
_329_,6.3µm
_166_,6.28µm
_290_,6.28µm
_187_,6.26µm
_286_,6.26µm
_056_,6.18µm
_161_,6.18µm
net2,6.18µm
_191_,6.14µm
_323_,6.14µm
SrcB[2],6.09µm
SrcB[4],6.09µm
_198_,6.08µm
_024_,6.07µm
SrcA[8],5.97µm
_324_,5.875µm
_138_,5.86µm
_259_,5.84µm
_342_,5.82µm
_072_,5.8µm
net9,5.8µm
ALU_result[5],5.75µm
SrcA[14],5.75µm
_252_,5.74µm
_214_,5.72µm
_317_,5.72µm
_309_,5.6µm
_143_,5.52µm
ALU_result[4],5.41µm
SrcB[13],5.41µm
SrcB[15],5.41µm
SrcB[5],5.41µm
SrcB[8],5.41µm
_281_,5.39µm
_215_,5.38µm
_206_,5.34µm
_244_,5.34µm
SrcB[7],5.29µm
_042_,5.26µm
_133_,5.26µm
_207_,5.26µm
_243_,5.26µm
_241_,5.22µm
_260_,5.22µm
ALU_result[6],5.07µm
ALU_result[8],5.07µm
_058_,5.06µm
_100_,5.06µm
_170_,5.04µm
SrcA[9],4.95µm
_013_,4.94µm
_236_,4.94µm
_134_,4.92µm
_054_,4.9µm
_276_,4.88µm
_160_,4.8µm
_193_,4.8µm
_021_,4.76µm
_097_,4.7µm
_201_,4.68µm
_289_,4.56µm
_076_,4.54µm
_224_,4.485µm
_114_,4.48µm
_156_,4.48µm
_101_,4.46µm
_001_,4.44µm
ALU_result[7],4.39µm
SrcA[15],4.39µm
SrcB[0],4.39µm
_307_,4.36µm
_092_,4.24µm
_149_,4.22µm
_310_,4.22µm
_331_,4.22µm
_223_,4.215µm
_273_,4.08µm
_141_,4.02µm
_202_,4.02µm
_122_,4µm
_136_,4µm
_199_,4µm
_312_,4µm
_316_,4µm
_124_,3.88µm
_145_,3.88µm
_146_,3.88µm
_291_,3.88µm
_068_,3.56µm
_301_,3.56µm
_237_,3.54µm
_109_,3.42µm
_148_,3.22µm
_167_,3.22µm
_314_,3.18µm
_121_,3.1µm
_229_,3.09µm
_051_,3.08µm
_115_,3.08µm
_235_,3.08µm
_279_,3.08µm
_284_,3.08µm
_302_,3.08µm
net53,2.96µm
_263_,2.86µm
_295_,2.76µm
_250_,2.72µm
_062_,2.64µm
_007_,2.62µm
_011_,2.62µm
_028_,2.62µm
_048_,2.62µm
_177_,2.62µm
_298_,2.62µm
_108_,2.52µm
_008_,2.5µm
_053_,2.5µm
_228_,2.5µm
_254_,2.5µm
_319_,2.5µm
net40,2.5µm
_059_,2.4µm
_063_,2.28µm
_320_,2.28µm
_106_,2.18µm
_123_,2.18µm
_154_,2.18µm
_234_,2.18µm
_351_,2.18µm
_027_,2.16µm
_039_,2.16µm
_046_,2.16µm
_117_,2.16µm
_151_,2.16µm
_248_,2.16µm
_096_,2.04µm
_111_,2.04µm
_300_,2.04µm
_315_,1.915µm
_002_,1.84µm
_069_,1.84µm
_175_,1.82µm
_188_,1.72µm
_265_,1.72µm
_285_,1.72µm
_355_,1.72µm
_023_,1.7µm
_086_,1.7µm
_090_,1.7µm
_102_,1.7µm
_194_,1.7µm
_257_,1.7µm
_266_,1.7µm
_277_,1.7µm
_280_,1.7µm
_297_,1.7µm
_014_,1.48µm
_267_,1.48µm
_038_,1.38µm
_155_,1.38µm
_271_,1.38µm
_043_,1.26µm
_184_,1.26µm
_269_,1.26µm
_282_,1.26µm
_197_,1.15µm
_125_,1.14µm
_318_,1.14µm
_226_,1.02µm
_242_,0.92µm
_019_,0.8µm
_172_,0.8µm
_303_,0.8µm
_305_,0.46µm
